,stageSubmissionTime,launchTime,finishTime,jobId,status,stageId,name,taskId,index,attempt,executorId,duration,sojournTime,waitingTime,taskLocality,executorDeserializeTime,executorRunTime,executorCpuTime,executorDeserializeCpuTime,resultSize,gettingResultTime,jvmGcTime,resultSerializationTime,memoryBytesSpilled,diskBytesSpilled,peakExecutionMemory,bytesRead,recordsRead,readTime,locationExecId,readMethod,cachedBlock,bytesWritten, recordsWritten,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime, remoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleLocalBytesRead,shuffleRecordsRead, shuffleBytesWritten,shuffleWriteTime,shuffleRecordsWritten,stageCompletionTime,measuredRunTime
2399,1569563723889,1569563724080,1569563743796,2,-,0,count at DistributedBlocking.scala:90,0,0,0,23,19716.0,21579.0,191.0,PROCESS_LOCAL,19575.0,65.0,64897139.0,958372440.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1871,1569563723889,1569563741777,1569563741893,2,-,0,count at DistributedBlocking.scala:90,2146,546,0,45,116.0,21579.0,17888.0,PROCESS_LOCAL,2.0,110.0,110245401.0,973144.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1870,1569563723889,1569563739569,1569563739624,2,-,0,count at DistributedBlocking.scala:90,1706,106,0,47,55.0,21579.0,15680.0,PROCESS_LOCAL,2.0,48.0,48240671.0,1071941.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1869,1569563723889,1569563741291,1569563741307,2,-,0,count at DistributedBlocking.scala:90,2047,447,0,31,16.0,21579.0,17402.0,PROCESS_LOCAL,2.0,10.0,10396638.0,1084016.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1868,1569563723889,1569563739698,1569563739789,2,-,0,count at DistributedBlocking.scala:90,1733,133,0,46,91.0,21579.0,15809.0,PROCESS_LOCAL,1.0,84.0,84027000.0,971482.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1867,1569563723889,1569563741714,1569563741747,2,-,0,count at DistributedBlocking.scala:90,2137,537,0,15,33.0,21579.0,17825.0,PROCESS_LOCAL,0.0,27.0,25738891.0,1393264.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1866,1569563723889,1569563742895,1569563742925,2,-,0,count at DistributedBlocking.scala:90,2379,779,0,47,30.0,21579.0,19006.0,PROCESS_LOCAL,1.0,24.0,23549172.0,1009009.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1865,1569563723889,1569563741247,1569563741258,2,-,0,count at DistributedBlocking.scala:90,2038,438,0,31,11.0,21579.0,17358.0,PROCESS_LOCAL,1.0,6.0,5518556.0,981667.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1864,1569563723889,1569563739646,1569563739654,2,-,0,count at DistributedBlocking.scala:90,1724,124,0,35,8.0,21579.0,15757.0,PROCESS_LOCAL,2.0,2.0,2390387.0,968795.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1863,1569563723889,1569563742832,1569563742884,2,-,0,count at DistributedBlocking.scala:90,2370,770,0,35,52.0,21579.0,18943.0,PROCESS_LOCAL,2.0,46.0,45956515.0,1500957.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
